grid_id,lon_center,lat_center,MU_GLOBAL,T_SAND,T_CLAY,T_SILT,T_OC,T_GRAVEL,T_REF_BULK_DENSITY,T_ECE,S_SAND,S_CLAY,S_SILT,S_OC,S_GRAVEL,S_REF_BULK_DENSITY,S_ECE
8,116.3191,29.6422,11605.0000,29.0000,21.0000,50.0000,1.1200,10.0000,1.3800,0.3000,34.0000,21.0000,45.0000,0.8200,10.0000,1.3900,0.3000
9,116.4191,29.6422,11808.0000,27.0000,48.0000,25.0000,1.2400,4.0000,1.2500,0.1000,22.0000,56.0000,22.0000,0.4500,6.0000,1.2200,0.1000
10,116.5191,29.6422,11808.0000,27.0000,48.0000,25.0000,1.2400,4.0000,1.2500,0.1000,22.0000,56.0000,22.0000,0.4500,6.0000,1.2200,0.1000
67,115.7191,29.7422,11495.0000,34.0000,18.0000,48.0000,0.6000,15.0000,1.4100,0.7000,36.0000,18.0000,46.0000,0.4000,10.0000,1.4100,0.5000
68,115.8191,29.7422,11495.0000,34.0000,18.0000,48.0000,0.6000,15.0000,1.4100,0.7000,36.0000,18.0000,46.0000,0.4000,10.0000,1.4100,0.5000
69,115.9191,29.7422,11495.0000,34.0000,18.0000,48.0000,0.6000,15.0000,1.4100,0.7000,36.0000,18.0000,46.0000,0.4000,10.0000,1.4100,0.5000
70,116.0191,29.7422,11876.0000,42.0000,20.0000,38.0000,1.0600,4.0000,1.4100,0.1000,33.0000,36.0000,31.0000,0.4300,4.0000,1.3000,0.1000
71,116.1191,29.7422,11876.0000,42.0000,20.0000,38.0000,1.0600,4.0000,1.4100,0.1000,33.0000,36.0000,31.0000,0.4300,4.0000,1.3000,0.1000
72,116.2191,29.7422,11927.0000,,,,,,,,,,,,,,
73,116.3191,29.7422,11613.0000,29.0000,21.0000,50.0000,1.1200,10.0000,1.3800,0.3000,34.0000,21.0000,45.0000,0.8200,10.0000,1.3900,0.3000
74,116.4191,29.7422,11876.0000,42.0000,20.0000,38.0000,1.0600,4.0000,1.4100,0.1000,33.0000,36.0000,31.0000,0.4300,4.0000,1.3000,0.1000
75,116.5191,29.7422,11807.0000,52.0000,24.0000,24.0000,1.0000,10.0000,1.4100,0.1000,43.0000,36.0000,21.0000,0.4300,10.0000,1.3200,0.1000
76,116.6191,29.7422,11808.0000,27.0000,48.0000,25.0000,1.2400,4.0000,1.2500,0.1000,22.0000,56.0000,22.0000,0.4500,6.0000,1.2200,0.1000
77,116.7191,29.7422,11818.0000,28.0000,50.0000,22.0000,3.0700,10.0000,1.2500,0.1000,24.0000,57.0000,19.0000,0.9400,5.0000,1.2200,0.1000
130,115.5191,29.8422,11368.0000,31.0000,47.0000,22.0000,1.2000,19.0000,1.2600,0.1000,27.0000,53.0000,20.0000,0.5900,28.0000,1.2400,0.1000
131,115.6191,29.8422,11495.0000,34.0000,18.0000,48.0000,0.6000,15.0000,1.4100,0.7000,36.0000,18.0000,46.0000,0.4000,10.0000,1.4100,0.5000
132,115.7191,29.8422,11495.0000,34.0000,18.0000,48.0000,0.6000,15.0000,1.4100,0.7000,36.0000,18.0000,46.0000,0.4000,10.0000,1.4100,0.5000
133,115.8191,29.8422,11495.0000,34.0000,18.0000,48.0000,0.6000,15.0000,1.4100,0.7000,36.0000,18.0000,46.0000,0.4000,10.0000,1.4100,0.5000
134,115.9191,29.8422,11495.0000,34.0000,18.0000,48.0000,0.6000,15.0000,1.4100,0.7000,36.0000,18.0000,46.0000,0.4000,10.0000,1.4100,0.5000
135,116.0191,29.8422,11605.0000,29.0000,21.0000,50.0000,1.1200,10.0000,1.3800,0.3000,34.0000,21.0000,45.0000,0.8200,10.0000,1.3900,0.3000
136,116.1191,29.8422,11495.0000,34.0000,18.0000,48.0000,0.6000,15.0000,1.4100,0.7000,36.0000,18.0000,46.0000,0.4000,10.0000,1.4100,0.5000
137,116.2191,29.8422,11492.0000,79.0000,6.0000,15.0000,0.4100,10.0000,1.6600,0.4000,79.0000,6.0000,15.0000,0.1700,10.0000,1.6600,0.4000
138,116.3191,29.8422,11492.0000,79.0000,6.0000,15.0000,0.4100,10.0000,1.6600,0.4000,79.0000,6.0000,15.0000,0.1700,10.0000,1.6600,0.4000
