grid_id,lon_center,lat_center,T_SAND,T_CLAY,T_SILT,T_OC,T_OM,T_GRAVEL,T_ECE,T_REF_BULK_DENSITY,wilting_point,field_capacity,saturation,available_water,sat_hydraulic_cond,matric_bulk_density,b_parameter,lambda_param,air_entry_tension,bulk_density_normal,compaction_factor
8.0,116.3191,29.6422,29.0,21.0,50.0,1.12,1.9308800000000002,10.0,0.3,1.38,0.139104047104,0.29999754977002047,0.4559611858148205,0.16089350266602045,9.12383391149835,1.4417028575907256,4.96610803261814,0.20136493073284964,7.025616026225915,1.4417028575907256,1.0
9.0,116.4191,29.6422,27.0,48.0,25.0,1.24,2.13776,4.0,0.1,1.25,0.287190913504,0.4124491067773232,0.4901608653821232,0.12525819327332322,1.0862042531496798,1.3510737067373735,10.544406959022103,0.09483700732399851,5.503867948406479,1.3510737067373735,1.0
10.0,116.5191,29.6422,27.0,48.0,25.0,1.24,2.13776,4.0,0.1,1.25,0.287190913504,0.4124491067773232,0.4901608653821232,0.12525819327332322,1.0862042531496798,1.3510737067373735,10.544406959022103,0.09483700732399851,5.503867948406479,1.3510737067373735,1.0
67.0,115.7191,29.7422,34.0,18.0,48.0,0.6,1.0344,15.0,0.7,1.41,0.11703482176,0.2674639620455359,0.4229159612135358,0.1504291402855359,8.578619499673163,1.52927270278413,4.617847912344703,0.21655109024416785,7.003123808907735,1.52927270278413,1.0
68.0,115.8191,29.7422,34.0,18.0,48.0,0.6,1.0344,15.0,0.7,1.41,0.11703482176,0.2674639620455359,0.4229159612135358,0.1504291402855359,8.578619499673163,1.52927270278413,4.617847912344703,0.21655109024416785,7.003123808907735,1.52927270278413,1.0
69.0,115.9191,29.7422,34.0,18.0,48.0,0.6,1.0344,15.0,0.7,1.41,0.11703482176,0.2674639620455359,0.4229159612135358,0.1504291402855359,8.578619499673163,1.52927270278413,4.617847912344703,0.21655109024416785,7.003123808907735,1.52927270278413,1.0
70.0,116.0191,29.7422,42.0,20.0,38.0,1.06,1.8274400000000002,4.0,0.1,1.41,0.13285452879999998,0.2681468918493425,0.4399302500829425,0.1352923630493425,12.733157782479143,1.4841848372802022,5.434743813034487,0.18400131347528054,4.3458317581951285,1.4841848372802022,1.0
71.0,116.1191,29.7422,42.0,20.0,38.0,1.06,1.8274400000000002,4.0,0.1,1.41,0.13285452879999998,0.2681468918493425,0.4399302500829425,0.1352923630493425,12.733157782479143,1.4841848372802022,5.434743813034487,0.18400131347528054,4.3458317581951285,1.4841848372802022,1.0
72.0,116.2191,29.7422,,,,,,,,,,,,,,,,,,,1.0
73.0,116.3191,29.7422,29.0,21.0,50.0,1.12,1.9308800000000002,10.0,0.3,1.38,0.139104047104,0.29999754977002047,0.4559611858148205,0.16089350266602045,9.12383391149835,1.4417028575907256,4.96610803261814,0.20136493073284964,7.025616026225915,1.4417028575907256,1.0
74.0,116.4191,29.7422,42.0,20.0,38.0,1.06,1.8274400000000002,4.0,0.1,1.41,0.13285452879999998,0.2681468918493425,0.4399302500829425,0.1352923630493425,12.733157782479143,1.4841848372802022,5.434743813034487,0.18400131347528054,4.3458317581951285,1.4841848372802022,1.0
